Age,Tenure,NumOfProducts,EstimatedSalary,Exited,Tenure/NumOfProducts,ESalary/Age,Tenure/Age,Balance/ESalary,ESalary/Tenure,Geography_Germany,Geography_Spain,Gender_Male,HasCrCard_1,IsActiveMember_1,AgeRanges_2,AgeRanges_3,AgeRanges_4,AgeRanges_5,CreditScoreRanges_2,CreditScoreRanges_3,CreditScoreRanges_4,CreditScoreRanges_5,SmallerThan405_1,HasBalance_1
42.0,2,1.0,101348.88,1,2.0,2413.0685714285714,0.047619047619047616,0.0,33782.96,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
41.0,1,1.0,112542.58,0,1.0,2744.940975609756,0.024390243902439025,0.7446769036217226,56271.29,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
42.0,8,3.0,113931.57,1,2.6666666666666665,2712.656428571429,0.19047619047619047,1.4013745268322026,12659.063333333334,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
39.0,1,2.0,93826.63,0,0.5,2405.811025641026,0.02564102564102564,0.0,46913.315,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
43.0,2,1.0,79084.1,0,2.0,1839.16511627907,0.046511627906976744,1.5870550464631954,26361.36666666667,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1
44.0,8,2.0,149756.71,1,4.0,3403.5615909090907,0.18181818181818182,0.7596038935417319,16639.634444444444,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
50.0,7,2.0,10062.8,0,3.5,201.25599999999997,0.14,0.0,1257.85,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0
29.0,4,3.5,119346.88,1,1.1428571428571428,4115.409655172414,0.13793103448275862,0.9639693974404694,23869.376,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
44.0,4,2.0,74940.5,0,2.0,1703.1931818181818,0.09090909090909091,1.8955180443151567,14988.1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
27.0,2,1.0,71725.73,0,2.0,2656.5085185185185,0.07407407407407407,1.876647055387237,23908.576666666664,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1
31.0,6,2.0,80181.12,0,3.0,2586.487741935484,0.1935483870967742,1.2723284483928388,11454.445714285714,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
24.0,3,2.0,76390.01,0,1.5,3182.9170833333333,0.125,0.0,19097.5025,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
34.0,10,2.0,26260.98,0,5.0,772.3817647058823,0.29411764705882354,0.0,2387.3618181818183,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
25.0,5,2.0,190857.79,0,2.5,7634.3116,0.2,0.0,31809.631666666668,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35.0,7,2.0,65951.65,0,3.5,1884.332857142857,0.2,0.0,8243.95625,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0
45.0,3,2.0,64327.26,0,1.5,1429.4946666666667,0.06666666666666667,2.2250195329320728,16081.815,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
58.0,1,1.0,5097.67,1,1.0,87.89086206896552,0.017241379310344827,26.01244882465911,2548.835,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1
24.0,9,2.0,14406.41,0,4.5,600.2670833333333,0.375,0.0,1440.641,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
45.0,6,1.0,158684.81,0,6.0,3526.329111111111,0.13333333333333333,0.0,22669.25857142857,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
24.0,6,2.0,54724.03,0,3.0,2280.1679166666668,0.25,0.0,7817.7185714285715,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
41.0,8,2.0,170886.17,0,4.0,4167.955365853659,0.1951219512195122,0.0,18987.352222222224,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0
32.0,8,2.0,138555.46,0,4.0,4329.858125,0.25,0.0,15395.05111111111,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
38.0,4,1.0,118913.53,1,4.0,3129.3034210526316,0.10526315789473684,0.0,23782.706,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
46.0,3,2.0,8487.75,0,1.5,184.5163043478261,0.06521739130434782,0.0,2121.9375,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
38.0,5,1.0,187616.16,0,5.0,4937.267368421053,0.13157894736842105,0.0,31269.36,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
25.0,3,2.0,124508.29,0,1.5,4980.3315999999995,0.12,0.0,31127.0725,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
36.0,2,1.0,170041.95,0,2.0,4723.387500000001,0.05555555555555555,0.8045993356345302,56680.65,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1
44.0,9,2.0,38433.35,0,4.5,873.4852272727272,0.20454545454545456,0.0,3843.335,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
43.0,3,1.0,100187.43,0,3.0,2329.9402325581395,0.06976744186046512,1.4108499439500544,25046.8575,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1
29.0,0,2.0,53483.21,0,0.0,1844.2486206896551,0.0,1.1161852476693153,53483.21,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
39.0,3,3.0,140469.38,1,1.0,3601.7789743589747,0.07692307692307693,0.0,35117.345,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
36.0,7,1.0,156731.91,0,7.0,4353.6641666666665,0.19444444444444445,0.5443160872600863,19591.48875,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
41.0,9,2.0,81898.81,0,4.5,1997.5319512195122,0.21951219512195122,1.344494993272796,8189.880999999999,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
42.0,6,2.0,34410.55,0,3.0,819.2988095238096,0.14285714285714285,0.0,4915.792857142857,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0
